Id,Answer
0,0
1,0
2,0
3,0
4,0
5,0
6,-1
7,0
8,-1
9,-1
10,-1
11,-1
12,-1
13,0
14,0
15,0
16,-1
17,0
18,1
19,0
20,-1
21,-1
22,-1
23,0
24,0
25,-1
26,0
27,1
28,0
29,0
30,0
31,0
32,-1
33,-1
34,-1
35,-1
36,-1
37,-1
38,-1
39,-1
40,-1
41,0
42,-1
43,0
44,0
45,0
46,-1
47,-1
48,-1
49,0
50,0
51,-1
52,-1
53,-1
54,-1
55,-1
56,0
57,0
58,0
59,-1
60,-1
61,-1
62,-1
63,0
64,0
65,0
66,0
67,0
68,0
69,-1
70,-1
71,-1
72,-1
73,-1
74,-1
75,-1
76,-1
77,-1
78,0
79,0
80,0
81,0
82,0
83,0
84,1
85,0
86,-1
87,0
88,0
89,-1
90,0
91,0
92,-1
93,1
94,0
95,-1
96,0
97,0
98,0
99,0
100,-1
101,-1
102,-1
103,0
104,0
105,1
106,1
107,-1
108,0
109,0
110,0
111,0
112,-1
113,-1
114,0
115,0
116,1
117,1
118,1
119,-1
120,0
121,0
122,0
123,0
124,0
125,-1
126,0
127,0
128,1
129,0
130,0
131,-1
132,0
133,0
134,0
135,1
136,0
137,-1
138,-1
139,-1
140,-1
141,0
142,-1
143,0
144,0
145,0
146,1
147,0
148,0
149,0
150,0
151,1
152,1
153,1
154,1
155,-1
156,1
157,-1
158,-1
159,0
160,0
161,-1
162,-1
163,-1
164,-1
165,-1
166,0
167,1
168,1
169,1
170,1
171,1
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,-1
180,1
181,1
182,1
183,1
184,1
185,1
186,0
187,0
188,-1
189,-1
190,-1
191,-1
192,-1
193,-1
194,0
195,0
196,-1
197,-1
198,0
199,0
200,0
201,0
202,-1
203,-1
204,0
205,-1
206,-1
207,-1
208,-1
209,-1
210,-1
211,-1
212,-1
213,-1
214,1
215,1
216,-1
217,-1
218,-1
219,-1
220,1
221,1
222,-1
223,-1
224,-1
225,-1
226,-1
227,0
228,0
229,-1
230,0
231,0
232,0
233,-1
234,-1
235,-1
236,0
237,0
238,-1
239,-1
240,-1
241,-1
242,-1
243,0
244,-1
245,-1
246,-1
247,-1
248,-1
249,-1
250,-1
251,-1
252,-1
253,-1
254,-1
255,-1
256,-1
257,0
258,0
259,0
260,0
261,0
262,1
263,1
264,1
265,1
266,1
267,1
268,-1
269,-1
270,0
271,0
272,1
273,1
274,0
275,0
276,0
277,0
278,-1
279,-1
280,-1
281,-1
282,-1
283,1
284,1
285,-1
286,-1
287,0
288,1
289,1
290,1
291,-1
292,-1
293,-1
294,0
295,0
296,-1
297,-1
298,0
299,0
300,0
301,1
302,1
303,1
304,0
305,0
306,-1
307,-1
308,-1
309,0
310,-1
311,-1
312,-1
313,-1
314,-1
315,0
316,0
317,0
318,-1
319,1
320,1
321,1
322,1
323,1
324,1
325,1
326,1
327,1
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,-1
338,0
339,0
340,1
341,0
342,0
343,0
344,0
345,0
346,0
347,-1
348,0
349,0
350,1
351,0
352,-1
353,-1
354,-1
355,0
356,0
357,0
358,-1
359,0
360,0
361,0
362,0
363,-1
364,-1
365,-1
366,0
367,0
368,-1
369,0
370,0
371,0
372,0
373,1
374,0
375,0
376,-1
377,-1
378,0
379,0
380,0
381,0
382,0
383,1
384,0
385,0
386,0
387,-1
388,-1
389,-1
390,-1
391,0
392,0
393,-1
394,-1
395,-1
396,-1
397,0
398,0
399,1
400,1
401,-1
402,0
403,0
404,1
405,1
406,0
407,0
408,0
409,0
410,-1
411,0
412,0
413,0
414,-1
415,0
416,0
417,1
418,1
419,-1
420,-1
421,-1
422,-1
423,-1
424,-1
425,-1
426,-1
427,-1
428,-1
429,0
430,0
431,-1
432,-1
433,-1
434,-1
435,-1
436,0
437,-1
438,-1
439,-1
440,-1
441,0
442,0
443,-1
444,-1
445,-1
446,-1
447,-1
448,-1
449,-1
450,-1
451,0
452,-1
453,-1
454,-1
455,0
456,0
457,-1
458,0
459,-1
460,-1
461,-1
462,1
463,1
464,0
465,-1
466,0
467,0
468,0
469,1
470,-1
471,0
472,0
473,-1
474,0
475,-1
476,-1
477,-1
478,-1
479,-1
